FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
targier	targier	targier2	*TARDICARE		VERB		Ind,Inf,Pres,Intr
.	.						
si	si	si	SIC		ADV		
eslist	eslist	eslire	ELIGERE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
un	un	un	UNUS		DET		ArtIndef,Masc,Sing
sien	sien	suen	SUUS		DET		Poss,Masc,Sing,Acc
barons	barons	baron	*BARO		NOUN		Masc,Plur,Nom
qi	qi	qui	QUI		PRON		Rel,Nom
mult	mult	mout	MULTUS		ADV		
estoit	estoit	estre1	ESSE		VERB		Fin,Ind,Imp,Intr,3,Sing
saje	saje	sage	SAPIDUS		ADJ		Masc,Sing,Nom
et	et	et	ET		CCONJ		
riche	riche	riche	RîKI		ADJ		Fem,Sing
et	et	et	ET		CCONJ		
vaillant	vaillant	valoir	VALERE		VERB	Adj	Ind,Part,Pres
.	.						
et	et	et	ET		CCONJ		
mult	mult	mout	MULTUS		ADV		
savoit	savoit	savoir	SAPERE		VERB	auxMod	Fin,Ind,Imp,3,Sing
de	de	de	DE		ADP		
plait	plait	plait	PLACITUM		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
loi	loi	loi3	LEX		NOUN		Fem,Sing
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
athenor	athenor	Anténor			PROPN		Masc,Sing,Nom
estoit	estoit	estre1	ESSE		VERB		Fin,Ind,Imp,Intr,3,Sing
apellés	apellés	apeler	APELLARE		VERB	compPass	Ind,Part,Past,Sing,Masc,MWEs
.	.						
celui	celui	cel	ILLE		DET		Dem,Masc,Sing,Nom
apella	apella	apeler	APPELLARE		VERB		Fin,Ind,Past,Act,Trans,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
et	et	et	ET		CCONJ		
dist	dist	dire	DICERE		VERB		Fin,Ind,Past,Intr,3,Sing
en	en	en1	IN		ADP		
tel	tel	tel	TALIS		PRON		Ind,Masc,Sing,Nom
mainiere	mainiere	maniere	MANUARIUS		NOUN		Fem,Sing
.	.						
.	.						
biau	biau	bel	BELLUS		ADJ		Masc,Sing,Nom
sire	sire	seignor	SENIOR		NOUN		Masc,Sing,Nom
athenor	athenor	Anténor			PROPN		Masc,Sing,Nom
.	.						
aler	aler	aler (GDC)	AMBULARE		VERB		Ind,Inf,Pres,Intr
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
convient	convient	covenir	CONVENIRE		VERB		Fin,Ind,Pres,Intr,3,Sing
en	en	en1	IN		ADP		
grese	grese	Grèce			PROPN		Fem,Sing
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
esionan	esionan	Esionam			PROPN		Fem,Sing
reqerre	reqerre	requerre	REQUIRERE		VERB		Ind,Inf,Pres,Act,Trans
et	et	et	ET		CCONJ		
demander	demander	demander	DEMANDARE		VERB		Ind,Inf,Pres,Act,Trans
de_part	de_part	part1	PARS		NOUN	Adp	Fem,Sing
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
à	à	a3	AD		ADP		
celui	celui	cel	ILLE		DET		Dem,Masc,Sing,Nom
qu’	qu’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
la	la	le	ILLE		DET		ArtDef,Fem,Sing
tient	tient	tenir1	TENERE		VERB		Fin,Ind,Pres,Act,Trans,3,Sing
.	.						
por	por	por2	PRO		ADP		
tel	tel	tel	TALIS		PRON		Ind,Masc,Sing,Nom
convenant	convenant	covenant	CONVENIRE		NOUN		Masc,Sing,Acc
.	.						
qe	qe	queque	QUID		PRON		Rel,Nom
.	.						
c’	c’	se	SI		SCONJ		
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
me	me	moi	ME		PRON		Prs,1,Sing,Acc
la	la	le	ILLE		DET		ArtDef,Fem,Sing
rent	rent	renc	HRING		NOUN		Masc,Sing,Acc
.	.						
qe	qe	queque	QUID		PRON		Rel,Nom
je	je	je	EGO		PRON		Prs,1,Sing,Nom
li	li	le	ILLE		DET		ArtDef,Masc,Sing
qit	qit	quitter	QUIETUS		VERB		Fin,Ind,Pres,Act,Trans,1,Sing
tos	tos	tot	TOTUS		DET		Ind,Masc,Sing,Nom
tors	tors	tor2	TURRIS		NOUN		Fem,Plur
et	et	et	ET		CCONJ		
tos	tos	tot	TOTUS		DET		Ind,Masc,Sing,Nom
les	les	le	ILLE		DET		ArtDef,Masc,Plur
hontes	hontes	honte	*HAUNIþA		NOUN		Fem,Plur
et	et	et	ET		CCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
damajes	damajes	damage	DAMNUM		NOUN		Masc,Plur,Acc
q’	q’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
m’	m’	moi	ME		PRON		Prs,1,Sing,Acc
ont	ont	avoir	HABERE		VERB		Fin,Ind,Pres,Act,Trans,3,Plur
fet	fet	faire	FACERE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
de	de	de	DE		ADP		
mon	mon	mon1	MEUS		DET		Poss,Masc,Sing,Nom
pere	pere	pere2	PATER		NOUN		Masc,Sing,Nom
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
mere	mere	mere	MATER		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
mes	mes	mais1	MAGIS2		CCONJ		
suor	suor	seror	SOROR		NOUN		Fem,Sing
hocire	hocire	ocire	OCCIDERE		VERB		Ind,Inf,Pres,Act,Trans
.	.						
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
gent	gent	gent2	GENITUS		ADJ		Fem,Sing
et	et	et	ET		CCONJ		
de	de	de	DE		ADP		
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
terre	terre	terre	TERRA		NOUN		Fem,Sing
q’	q’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
destruistrent	destruistrent	destruire	DESTRUERE		VERB		Fin,Ind,Past,Act,Trans,3,Plur
.	.						
si	si	si	SIC		ADV		
