FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
roi	roi1	roi	REX		NOUN		Masc,Sing,Acc
et	et	et	ET		CCONJ		
dist	dist	dire	DICERE		VERB		Fin,Ind,Past,Intr,3,Sing
en	en	en1	IN		ADP		
tel	tel6	tel	TALIS		DET		Ind,Fem,Sing
mainiere	mainiere	maniere	MANUARIUS		NOUN		Fem,Sing
.	.						
.	.						
biau	biau	bel	BELLUS		ADJ		Masc,Sing,Nom
sire	sire	seignor	SENIOR		NOUN		Masc,Sing,Nom
athenor	athenor	Anténor			PROPN		Masc,Sing,Nom
.	.						
aler	aler	aler (GDC)	AMBULARE		VERB		Ind,Inf,Pres,Intr
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
convient	convient	covenir	CONVENIRE		VERB		Fin,Ind,Pres,Intr,3,Sing
en	en	en1	IN		ADP		
grese	grese	Grèce			PROPN		Fem,Sing
ma	ma	mon1	MEUS		DET		Poss,Fem,Sing
suor	suor	seror	SOROR		NOUN		Fem,Sing
esionan	esionan	Esionam			PROPN		Fem,Sing
reqerre	reqerre	requerre	REQUIRERE		VERB		Ind,Inf,Pres,Act,Trans
et	et	et	ET		CCONJ		
demander	demander	demander	DEMANDARE		VERB		Ind,Inf,Pres,Act,Trans
de_part	de_part	part1	PARS		NOUN	Adp	Fem,Sing
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
à	à	a3	AD		ADP		
celui	celui3	cel	ILLE		PRON		Dem,Masc,Sing,Acc
qu’	qu’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
la	la1	le	ILLE		PRON		Prs,3,Fem,Sing,Acc
tient	tient	tenir1	TENERE		VERB		Fin,Ind,Pres,Act,Trans,3,Sing
.	.						
por	por	por2	PRO		ADP		
tel	tel2	tel	TALIS		DET		Ind,Masc,Sing,Acc
convenant	convenant	covenant	CONVENIRE		NOUN		Masc,Sing,Acc
.	.						
qe	qe3	queque	QUID		SCONJ		
.	.						
c’	c’	se	SI		SCONJ		
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
me	me	moi	ME		PRON		Prs,1,Sing,Acc
la	la1	le	ILLE		PRON		Prs,3,Fem,Sing,Acc
rent	rent	renc	HRING		NOUN		Masc,Sing,Acc
.	.						
qe	qe3	queque	QUID		SCONJ		
je	je	je	EGO		PRON		Prs,1,Sing,Nom
li	li1	li	ILLE		PRON		Prs,3,Masc,Sing,Acc
