ai|ai1|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
amor|amor1|amor|AMOR||NOUN||Masc,Sing,Nom
ans|ans1|an|ANNUS||NOUN||Masc,Plur,Nom
aportés|aportés1|aporter|APPORTARE||VERB||Fin,Ind,Pres,Act,Trans,2,Plur
aprés|aprés1|après|AD PRESSUM||ADV||Tim
as|as1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs
aut|aut1|haut|ALTUS||ADJ||Masc,Plur,Nom
autre|autre1|autre|ALTER||DET||Ind,Fem,Sing
autre|autre2|autre|ALTER||DET||Ind,Fem,Plur
bien|bien1|bien2|BENE||NOUN||Masc,Sing,Acc
bien|bien2|bien2|BENE||NOUN||Masc,Sing,Nom
bien|bien3|bien2|BENE||NOUN||Masc,Plur,Acc
ce|ce2|se|SI||SCONJ||
ceste|ceste1|cest|ISTE||DET||Dem,Fem,Sing
ceste|ceste2|cest|ISTE||DET||Dem,Fem,Plur
chevalier|chevalier1|chevalier|CABALLARIUS||NOUN||Masc,Sing,Acc
chouse|chouse1|chose|CAUSA||NOUN||Fem,Plur
cité|cité1|cité|CIVITAS||NOUN||Fem,Sing,Nom
issillee|issillee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
poi|poi|poi|PAUCUS||ADV||
selonc_ce_qe|selonc_ce_qe|selonc|SECUNDUS||ADP|SConj |MWEs
sen|sen|sens|SENSUS||NOUN||Masc,Sing,Acc
senz|senz|sens|SENSUS||NOUN||Masc,Sing,Nom
senz|senz1|sens|SENSUS||NOUN||Masc,Sing,Acc
sept|sept|set|SEPTEM||NUM||Card
seroit|seroit|estre1|ESSE||VERB|auxPass|Fin,Cnd,Pres,3,Sing,MWEs
seroit|seroit1|estre1|ESSE||VERB|auxCop|Fin,Cnd,Pres,3,Sing
seront|seront|estre1|ESSE||VERB|auxPass|Fin,Ind,Fut,3,Plur,MWEs
sez|sez|suen|SUUS||DET||Poss,Masc,Plur,Acc
seü|seü|savoir|SAPERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
seüe|seüe|savoir|SAPERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
siege|siege|siege|SEDICARE||NOUN||Masc,Sing,Acc
siegue|siegue|siege|SEDICARE||NOUN||Masc,Sing,Nom
sien|sien|suen|SUUS||DET||Poss,Masc,Sing,Acc
son|son|suen|SUUS||DET||Poss,Masc,Sing,Nom
son|son1|suen|SUUS||DET||Poss,Masc,Sing,Acc
stoire|stoire|estoire1|HISTORIA||NOUN||Fem,Sing
de_dens|de_dens|dedans|DEINTUS||ADP||
de_denz|de_denz1|dedans|DEINTUS||ADV||Loc
dedenz|dedenz1|dedans|DEINTUS||ADV||Loc
diex|diex1|dieu|DEUS||NOUN||Masc,Plur,Nom
diex|diex2|dieu|DEUS||NOUN||Masc,Sing,Nom
diex|diex3|dieu|DEUS||NOUN||Masc,Sing,Acc
dit|dit1|dire|DICERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
dit|dit2|dire|DICERE||VERB||Fin,Ind,Past,Intr,3,Sing
duree|duree1|durer|DURARE||VERB|Noun|Ind,Part,Past,Sing,Fem
els|els2|ueil|OCULUS||NOUN||Masc,Plur,Acc
es|es1|estre|ESSE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs
